"css-901oao","css-4rbku5 href","css-9pa8cd src","css-901oao 2","css-901oao 3","css-901oao 4","css-4rbku5 href 4","css-9pa8cd src 2","css-4rbku5 href 5","css-901oao 5","css-4rbku5 href 6","css-4rbku5","css-901oao 6","css-901oao 7","css-901oao 8","css-901oao 9","css-901oao 11","css-4rbku5 href 7"
"Mauricio Santiago","https://twitter.com/MauSantiM","https://pbs.twimg.com/profile_images/1362439679606415362/95L4mmRK_normal.jpg","@MauSantiM","·","También vendría bien una gobernadora","https://twitter.com/MauSantiM/status/1705054326400360458","","https://twitter.com/MauSantiM/status/1705054326400360458/analytics","","","21 sept.","80","","","","","https://twitter.com/hashtag/EsSasil?src=hashtag_click"
"santiago castillo","https://twitter.com/santiagoxchance","https://pbs.twimg.com/profile_images/1705052861808230400/sNh8SYp0_normal.jpg","@santiagoxchance","·","","https://twitter.com/santiagoxchance/status/1705050869157278198","","https://twitter.com/santiagoxchance/status/1705050869157278198/analytics","","","21 sept.","52","","","","","https://twitter.com/hashtag/EsSasil?src=hashtag_click"
"Francesco Croda De leon","https://twitter.com/FRCRDL","https://pbs.twimg.com/profile_images/1618739576595439616/-GRt5ivN_normal.jpg","@FRCRDL","·","","https://twitter.com/FRCRDL/status/1705048562843717666","","https://twitter.com/FRCRDL/status/1705048562843717666/analytics","2","","21 sept.","54","","","","","https://twitter.com/hashtag/EsSasil?src=hashtag_click"
"Valentin Gonzalez","https://twitter.com/Valenti42791630","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","@Valenti42791630","·","Mezcalapa está con usted senadora.","https://twitter.com/Valenti42791630/status/1705413020065599556","","https://twitter.com/Valenti42791630/status/1705413020065599556/analytics","","","22 sept.","5","","","","",""
"Arturo Herrera","https://twitter.com/ArturoH01715392","https://pbs.twimg.com/profile_images/1586889589855342593/nJJaQb9N_normal.jpg","@ArturoH01715392","·","Es de Puebla","https://twitter.com/ArturoH01715392/status/1705055364100599903","","https://twitter.com/ArturoH01715392/status/1705055364100599903/analytics","","","21 sept.","8","","","","",""
"Alberto Castorente","https://twitter.com/castorente","https://pbs.twimg.com/profile_images/1464327209158651907/B8_rgWP6_normal.jpg","@castorente","·","Como cuando te dicen que es tiempo de las mujeres!","https://twitter.com/castorente/status/1705261523554198011","https://pbs.twimg.com/media/F6pOUPMW4AEPQSm?format=jpg&name=small","https://twitter.com/castorente/status/1705261523554198011/analytics","","https://twitter.com/castorente/status/1705261523554198011/photo/1","22 sept.","12","","","","",""
"Oscar Albores","https://twitter.com/OscarAlbores20","https://pbs.twimg.com/profile_images/1699982583201771520/VAbxFXmx_normal.jpg","@OscarAlbores20","·","Ojalá que se haga historia pero para sacar a toda la bola de parásitos y ladrones como tú y otros más que jamás han hecho nada por Chiapas, más que aprovecharse de su posición política para enriquecerse y favorecer a sus amistades. Cínica, mezquina e inútil","https://twitter.com/OscarAlbores20/status/1705076354964681112","","https://twitter.com/OscarAlbores20/status/1705076354964681112/analytics","","","21 sept.","21","","","","",""
"Luis Camargo Vidal","https://twitter.com/LuisCamargoVida","https://pbs.twimg.com/profile_images/378800000105823863/e20080a51b28f9f7ef2bc7283ba8253b_normal.jpeg","@LuisCamargoVida","·","","https://twitter.com/LuisCamargoVida/status/1705066112461762844","https://pbs.twimg.com/media/F6mcleaXUAEvfIQ?format=jpg&name=small","https://twitter.com/LuisCamargoVida/status/1705066112461762844/analytics","","https://twitter.com/LuisCamargoVida/status/1705066112461762844/photo/1","21 sept.","5","","","","","https://twitter.com/hashtag/SeVanPorqueSeVan?src=hashtag_click"
"Diego Moreno","https://twitter.com/diego_moreno96","https://pbs.twimg.com/profile_images/1611087211847376923/t6L8G3bA_normal.jpg","@diego_moreno96","·","","https://twitter.com/diego_moreno96/status/1704658550486639084","","https://twitter.com/diego_moreno96/status/1704658550486639084/analytics","","","20 sept.","78","","","","",""
"Oscar Albores","https://twitter.com/OscarAlbores20","https://pbs.twimg.com/profile_images/1699982583201771520/VAbxFXmx_normal.jpg","@OscarAlbores20","·","Si pero no de mujeres rateras y sátrapas como tú saVIL y descarada, parásita del pueblo.","https://twitter.com/OscarAlbores20/status/1704922956290314674","","https://twitter.com/OscarAlbores20/status/1704922956290314674/analytics","","","21 sept.","7","","","","",""
"Lara","https://twitter.com/Gerard265510921","https://pbs.twimg.com/profile_images/1666256393114988546/DoMB4uE-_normal.jpg","@Gerard265510921","·","Todos sabemos que es solo una títere del señor Obrador hasta le copia su manera de hablar y actuar","https://twitter.com/Gerard265510921/status/1704636892279398555","","https://twitter.com/Gerard265510921/status/1704636892279398555/analytics","","","20 sept.","12","","","","",""
"Descubre más","","","Provenientes de todas partes de Twitter","","","","","","","","","","","","","",""
"Raúl Ojeda","https://twitter.com/RaulOjedaZ52","https://pbs.twimg.com/profile_images/1548017418936537096/LOAkqNF8_normal.jpg","@RaulOjedaZ52","·","Vamos!","https://twitter.com/RaulOjedaZ52/status/1706372819544838350","https://pbs.twimg.com/media/F65BCLKakAA-MBF?format=jpg&name=small","https://twitter.com/RaulOjedaZ52/status/1706372819544838350/analytics","25","","22h","6.929","","","155","46","https://twitter.com/RaulOjedaZ52/status/1706372819544838350/photo/1"
"Mara Lezama","https://twitter.com/MaraLezama","https://pbs.twimg.com/profile_images/1598783454321250328/UwUbOwV9_normal.jpg","@MaraLezama","·","Querida secretaria","https://twitter.com/MaraLezama/status/1706409310417268883","","https://twitter.com/MaraLezama/status/1706409310417268883/analytics","11","","20h","4.110",", ya arrancaron los Juegos Nacionales Deportivos, Culturales y Recreativos de la Secretaría de",".

 Nos emociona saber que en","101","44","https://twitter.com/hashtag/Canc%C3%BAn?src=hashtag_click"
"Alejandro Armenta","https://twitter.com/armentapuebla_","https://pbs.twimg.com/profile_images/1697429740850737152/dkKMPKgV_normal.jpg","@armentapuebla_","·","Gracias a cada uno de los integrantes del Frente de Defensa de la","https://twitter.com/armentapuebla_/status/1706459632141525036","https://pbs.twimg.com/media/F66P-gma0AAttUX?format=jpg&name=360x360","https://twitter.com/armentapuebla_/status/1706459632141525036/analytics","42","https://twitter.com/armentapuebla_/status/1706459632141525036/photo/1","16h","5.173","por su respaldo.

Mi registro para la Coordinación del Comité Estatal de Defensa de la 4T es un compromiso de honrar la confianza de las y los poblanos.

El legado de nuestro presidente…","","165","80","https://twitter.com/hashtag/CuartaTransformaci%C3%B3n?src=hashtag_click"
"MiguelTorrucoMarqués","https://twitter.com/TorrucoTurismo","https://pbs.twimg.com/profile_images/1168146401773129730/_wTkhk0b_normal.jpg","@TorrucoTurismo","·","¡Hicimos historia en el 2°","https://twitter.com/TorrucoTurismo/status/1706379264306844154","","https://twitter.com/TorrucoTurismo/status/1706379264306844154/analytics","12","https://twitter.com/hashtag/Turismo?src=hashtag_click","22h","2.126","de","!",", 142 presidentes y alcaldesas, las y los artesanos, cocineras tradicionales, chefs, prestadores de servicios, autoridades del Consulado de","34","https://twitter.com/hashtag/TianguisInternacional?src=hashtag_click"
"MiguelTorrucoMarqués","https://twitter.com/TorrucoTurismo","https://pbs.twimg.com/profile_images/1168146401773129730/_wTkhk0b_normal.jpg","@TorrucoTurismo","·","¡Hicimos historia en el 2°","https://twitter.com/TorrucoTurismo/status/1706379264306844154","","https://twitter.com/TorrucoTurismo/status/1706379264306844154/analytics","12","https://twitter.com/hashtag/Turismo?src=hashtag_click","22h","2.126","de","!",", 142 presidentes y alcaldesas, las y los artesanos, cocineras tradicionales, chefs, prestadores de servicios, autoridades del Consulado de","34","https://twitter.com/hashtag/TianguisInternacional?src=hashtag_click"
"y","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","Sasil de León","@sasildeleon","CELEBRO LOS LINEAMIENTOS QUE CONTENDRÁ LA CONVOCATORIA DE NUESTRO COMITÉ NACIONAL COMO ACCIÓN AFIRMATIVA EN MATERIA DE PARIDAD DE GÉNERO.

Reconozco la acción afirmativa de mis compañeros integrantes del Comité Ejecutivo Nacional de MORENA por esta selección de futuras aspirantes a participar a la elección de Chiapas para la gubernatura. 
No tengo la menor duda que la cuarta transformación va de la mano con la participación de las mujeres y que en las encuestas se verá reflejado el trabajo que hemos venido realizando por años junto a muchos y muchas chiapanecas.","https://twitter.com/sasildeleon/status/1701983002941702452/photo/1","https://pbs.twimg.com/media/F56kNk9WQAAh8__?format=jpg&name=900x900","https://twitter.com/sasildeleon/status/1701983002941702452/media_tags","Morena","https://twitter.com/sasildeleon/status/1701983002941702452/history","9:35 a. m. · 13 sept. 2023","·","6.102","Reproducciones","12","66","https://twitter.com/DevSrinivasa"
"Martín Moreno","https://twitter.com/martinmorenomx","https://pbs.twimg.com/profile_images/1686189837206851584/iB3DZuh1_normal.jpg","@martinmorenomx","·","Animo !! Con todo","https://twitter.com/martinmorenomx/status/1702055544864096740","","https://twitter.com/martinmorenomx/status/1702055544864096740/analytics","1","","13 sept.","277","!","","","",""
"Verynice","https://twitter.com/berecite","https://pbs.twimg.com/profile_images/477244824391659520/3j_9a-0r_normal.jpeg","@berecite","·","Es veracruzana no?","https://twitter.com/berecite/status/1702025894552817673","","https://twitter.com/berecite/status/1702025894552817673/analytics","1","","13 sept.","308","","","","",""
"Lifestyle Latino","https://twitter.com/LifestyleLatino","https://pbs.twimg.com/profile_images/1617941693717745670/Cu0RsEa7_normal.jpg","@LifestyleLatino","Te diremos cuántos años tiene tu alma después de 20 preguntas","lifestylelatino.com","https://www.lifestylelatino.com/que-tan-antigua-es-tu-alma-atraviesa-este-cuestionario-para-descubrirlo/?utm_source=tq&utm_campaign=kgski-tq&utm_medium=blank&utm_content=blank&utm_term=blank&twclid=2-6dd5fk3sw71unq0qea8wwkc78","https://pbs.twimg.com/media/F65nHHAXIAAPTsE?format=jpg&name=120x120","https://www.lifestylelatino.com/que-tan-antigua-es-tu-alma-atraviesa-este-cuestionario-para-descubrirlo/?utm_source=tq&utm_campaign=kgski-tq&utm_medium=blank&utm_content=blank&utm_term=blank&twclid=2-6dd5fk3sw71unq0qea8wwkc78","Responde 20 preguntas y descubre cuántos años tiene realmente tu alma","https://twitter.com/LifestyleLatino/status/1706414684159594746/analytics","","1","","4.422","Promocionado","",""
"Mercedes Solís","https://twitter.com/MercedesSo63331","https://pbs.twimg.com/profile_images/1661065321921364036/A5xynRAj_normal.jpg","@MercedesSo63331","·","Una chiapaneca para Chiapas, las gestiones realizadas en pro de las y los chiapanecos hablan por sí solas.","https://twitter.com/MercedesSo63331/status/1702166096093012316","","https://twitter.com/MercedesSo63331/status/1702166096093012316/analytics","","","13 sept.","83","","","","",""
"Rafael Israel Diaz","https://twitter.com/RafaelIsra74858","https://pbs.twimg.com/profile_images/1656671217854844935/BRdlvnQN_normal.png","@RafaelIsra74858","·","Ilusa que SOS vos sasil queres  gobernar Chiapas y no sos chiapaneca dicen las gentes de ERA que tu papá fundo la UNAL y creo muchos problemas en el Estado hacían secuestros expres robaron hartos carros y asaltaban y tod@s tus herman@s cobran sin trabajar en el gobierno estatal .","https://twitter.com/RafaelIsra74858/status/1702396395578097766","","https://twitter.com/RafaelIsra74858/status/1702396395578097766/analytics","2","","14 sept.","48","","","","",""
"𝒜𝓃𝓉𝒾 𝒶𝓂𝓁ℴ， 𝒜𝓃𝓉𝒾 4𝒯．","https://twitter.com/Esteban82013959","https://pbs.twimg.com/profile_images/1704620244508069889/QpEHeUEw_normal.jpg","@Esteban82013959","·","","https://twitter.com/Esteban82013959/status/1702040553641087037","https://pbs.twimg.com/media/F57c3HqXAAAx3Sc?format=jpg&name=small","https://twitter.com/Esteban82013959/status/1702040553641087037/analytics","","https://twitter.com/Esteban82013959/status/1702040553641087037/photo/1","13 sept.","245","","","","",""
"Dr Gustavo Zenteno","https://twitter.com/drgzenteno","https://pbs.twimg.com/profile_images/1418918790872580102/rVEtPKY0_normal.jpg","@drgzenteno","·","Es la Senadora que hizo el ridículo en la entrega del premio a Elena Poniatowska ?  Creo que Chiapas merece algo más serio ..","https://twitter.com/drgzenteno/status/1702033811637424583","","https://twitter.com/drgzenteno/status/1702033811637424583/analytics","7","","13 sept.","308","","","","",""
"Alberto Castorente","https://twitter.com/castorente","https://pbs.twimg.com/profile_images/1464327209158651907/B8_rgWP6_normal.jpg","@castorente","·","No vas a ganar en todo caso. Chiapas no te quiere","https://twitter.com/castorente/status/1702022454464352547","","https://twitter.com/castorente/status/1702022454464352547/analytics","4","","13 sept.","77","","","","",""
"𝒜𝓃𝓉𝒾 𝒶𝓂𝓁ℴ， 𝒜𝓃𝓉𝒾 4𝒯．","https://twitter.com/Esteban82013959","https://pbs.twimg.com/profile_images/1704620244508069889/QpEHeUEw_normal.jpg","@Esteban82013959","·","Considero que deberías de tener tantita dignidad (si es que la conoces) y no estar colgando tus lonitas con dinero que es de los chiapanecos, estás haciendo mal uso de ese recurso, chiapas no merece más pisoteos, se fueron los malos y llegaron otros peores.","https://twitter.com/Esteban82013959/status/1702040060617490444","","https://twitter.com/Esteban82013959/status/1702040060617490444/analytics","1","","13 sept.","57","","","","",""
"Carlos Conde","https://twitter.com/CarlosCond99","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","@CarlosCond99","·","Saludos desde palenque chiapas senadora SASIL de León próxima gobernadora de chiapas DIOS la bendiga","https://twitter.com/CarlosCond99/status/1702025879658881035","","https://twitter.com/CarlosCond99/status/1702025879658881035/analytics","","","13 sept.","78","","","","",""
"Lifestyle Latino","https://twitter.com/LifestyleLatino","https://pbs.twimg.com/profile_images/1617941693717745670/Cu0RsEa7_normal.jpg","@LifestyleLatino","Te diremos cuántos años fuiste a la escuela después de 20 preguntas. Me da verguenza lo malo que hice","lifestylelatino.com","https://www.lifestylelatino.com/solamente-aquellas-personas-con-ci-elevado-pueden-lograr-15-20-en-este-cuestionario/?utm_source=tq&utm_campaign=2au-d-mx-r-l0-kmssv-230920-ll-tq-c1&utm_medium=blank&utm_content=blank&utm_term=blank&twclid=22rs3t1fxi6owt1ouy63knqbf","","https://www.lifestylelatino.com/solamente-aquellas-personas-con-ci-elevado-pueden-lograr-15-20-en-este-cuestionario/?utm_source=tq&utm_campaign=2au-d-mx-r-l0-kmssv-230920-ll-tq-c1&utm_medium=blank&utm_content=blank&utm_term=blank&twclid=22rs3t1fxi6owt1ouy63knqbf","Te diremos cuántos años fuiste a la escuela después de 20 preguntas","https://twitter.com/LifestyleLatino/status/1704256703137554480/analytics","","2","7","58,4 mil","Promocionado","",""
"jorge","https://twitter.com/joludamo","https://pbs.twimg.com/profile_images/3016090196/7591f3c075b9da933ce4315bfd6ee379_normal.jpeg","@joludamo","·","No merecemos a este tipo de seres para la gubernatura","https://twitter.com/joludamo/status/1702075962853072917","","https://twitter.com/joludamo/status/1702075962853072917/analytics","1","","13 sept.","46","","","","",""
"0:01 / 0:34","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","Sasil de León","@sasildeleon","Amigas y amigos de Chiapas, 

Estamos muy contentos porque nos encontramos en la Asamblea Nacional de Morena, donde en unos momentos más la Dra. Claudia Sheinbaum tomará protesta como Coordinadora de los Comités de Defensa de la Cuarta Transformación. 

Este es un momento histórico, pues por primera vez, una mujer encabezará este movimiento de transformación que iniciamos junto al presidente López Obrador en el 2018. 

En esta nueva etapa bajo el liderazgo de la Dra. Sheinbaum, es necesario continuar fortaleciendo los valores de nuestro movimiento, así como mantener la unidad para que la transformación continúe y pueda llegar a todos los rincones del país. 

Es tiempo de Unidad, 
es tiempo de Mujeres 

¡Qué viva la cuarta transformación! 
¡Qué viva Morena!","","","","","https://twitter.com/sasildeleon/status/1700991140567367989","3:54 p. m. · 10 sept. 2023","·","2.459","Reproducciones","9","57","https://twitter.com/DevSrinivasa"
"Enrique Mejía","https://twitter.com/EnriqueMevel","https://pbs.twimg.com/profile_images/1705440019748360192/Cd7MrR1q_normal.jpg","@EnriqueMevel","·","Saludos desde Motozintla mi senadora","https://twitter.com/EnriqueMevel/status/1701058718622740681","","https://twitter.com/EnriqueMevel/status/1701058718622740681/analytics","1","","10 sept.","1","190","","","",""
"Sasil de León","https://twitter.com/sasildeleon","https://pbs.twimg.com/profile_images/1633306024345055232/AClmGVBa_normal.jpg","@sasildeleon","·","¡Saludos!","https://twitter.com/sasildeleon/status/1701251925440610542","","https://twitter.com/sasildeleon/status/1701251925440610542/analytics","","","11 sept.","52","","","","",""
"Jorge Fernandez A","https://twitter.com/JorgeFdezA","https://pbs.twimg.com/profile_images/498664635814645760/vs63SBGa_normal.jpeg","@JorgeFdezA","·","Usted senadora vestida asi ?? Si siempre que viene a su amado chiapas no suelta la ropa artesanal, que paso pues, no que mucho amor a las raices indigenas","https://twitter.com/JorgeFdezA/status/1701303265894211807","","https://twitter.com/JorgeFdezA/status/1701303265894211807/analytics","1","","11 sept.","31","","","","",""
"E","https://twitter.com/Antwan_Eduardo","https://pbs.twimg.com/profile_images/1220166575090753536/F0i4Rjwv_normal.jpg","@Antwan_Eduardo","·","Para, de lenguetear.","https://twitter.com/Antwan_Eduardo/status/1700991862260252836","https://pbs.twimg.com/media/F5sjCesasAEPpqu?format=jpg&name=360x360","https://twitter.com/Antwan_Eduardo/status/1700991862260252836/analytics","","https://twitter.com/Antwan_Eduardo/status/1700991862260252836/photo/1","10 sept.","97","","","","","https://twitter.com/Antwan_Eduardo/status/1700991862260252836/photo/2"
"Oscar Albores","https://twitter.com/OscarAlbores20","https://pbs.twimg.com/profile_images/1699982583201771520/VAbxFXmx_normal.jpg","@OscarAlbores20","·","Ojalá en las elecciones te manden ALV arrastrada","https://twitter.com/OscarAlbores20/status/1701040747837804943","","https://twitter.com/OscarAlbores20/status/1701040747837804943/analytics","2","","10 sept.","64","","","","",""
"Lara","https://twitter.com/Gerard265510921","https://pbs.twimg.com/profile_images/1666256393114988546/DoMB4uE-_normal.jpg","@Gerard265510921","·","Traidores","https://twitter.com/Gerard265510921/status/1701000110833070511","","https://twitter.com/Gerard265510921/status/1701000110833070511/analytics","1","","10 sept.","84","","","","",""
"Dorantes R","https://twitter.com/E_dorantes_r","https://pbs.twimg.com/profile_images/1547715193156775936/NnfNmDpe_normal.jpg","@E_dorantes_r","·","XD","https://twitter.com/E_dorantes_r/status/1701338581074092097","","https://twitter.com/E_dorantes_r/status/1701338581074092097/analytics","","","11 sept.","20","","","","",""
"Lifestyle Latino","https://twitter.com/LifestyleLatino","https://pbs.twimg.com/profile_images/1617941693717745670/Cu0RsEa7_normal.jpg","@LifestyleLatino","Te diremos cuántos años fuiste a la escuela después de 20 preguntas. Me da verguenza lo malo que hice","lifestylelatino.com","https://www.lifestylelatino.com/solamente-aquellas-personas-con-ci-elevado-pueden-lograr-15-20-en-este-cuestionario/?utm_source=tq&utm_campaign=2au-d-mx-r-l0-kmssv-230920-ll-tq-c1&utm_medium=blank&utm_content=blank&utm_term=blank&twclid=2-cf4e8h2m90v99oq2o8xk0zin","https://pbs.twimg.com/media/F6a8cCPWMAA3uLT?format=jpg&name=120x120","https://www.lifestylelatino.com/solamente-aquellas-personas-con-ci-elevado-pueden-lograr-15-20-en-este-cuestionario/?utm_source=tq&utm_campaign=2au-d-mx-r-l0-kmssv-230920-ll-tq-c1&utm_medium=blank&utm_content=blank&utm_term=blank&twclid=2-cf4e8h2m90v99oq2o8xk0zin","Te diremos cuántos años fuiste a la escuela después de 20 preguntas","https://twitter.com/LifestyleLatino/status/1704256704798437499/analytics","","1","5","117,3 mil","Promocionado","",""
"Vazkeso","https://twitter.com/vazkeso","https://pbs.twimg.com/profile_images/1474537271789506565/BadgWi00_normal.jpg","@vazkeso","·","Tu eres verde !!","https://twitter.com/vazkeso/status/1701098981311295811","","https://twitter.com/vazkeso/status/1701098981311295811/analytics","1","","10 sept.","36","","","","",""
"Alejandro Salgado","https://twitter.com/kerberos_scc","https://pbs.twimg.com/profile_images/1062170305559314437/BSGoZEEs_normal.jpg","@kerberos_scc","·","Desgraciada corrupta, los Chiapanecos te conocemos a ti y a tu familia.","https://twitter.com/kerberos_scc/status/1701341975176232978","","https://twitter.com/kerberos_scc/status/1701341975176232978/analytics","","","11 sept.","7","","","","",""