,texto,tokens,coments,rts,likes,views
0,visitamos el oriente de la ciudad para una entrega más de “nidos de lluvia”,"['visitamos', 'el', 'oriente', 'de', 'la', 'ciudad', 'para', 'una', 'entrega', 'más', 'de', 'nidos', 'de', 'lluvia']",3,1,9,685
1,este nido captará el agua de lluvia,"['este', 'nido', 'captará', 'el', 'agua', 'de', 'lluvia']",1,2,5,349
2,agradezco a,"['agradezco', 'a']",,2,6,350
3,"ahora más calles de nuestra ciudad tienen un nuevo rostro, lucen más bonitas y dignas con la renovación que les hemos dado con:","['ahora', 'más', 'calles', 'de', 'nuestra', 'ciudad', 'tienen', 'un', 'nuevo', 'rostro', 'lucen', 'más', 'bonitas', 'y', 'dignas', 'con', 'la', 'renovación', 'que', 'les', 'hemos', 'dado', 'con']",18,10,50,3.336
4,adoquín podo táctil.,"['adoquín', 'podo', 'táctil']",,4,3,776
5,today:,['today'],,,394,2.026
6,"gracias a la estrategia operativa y la tecnología del c5 guadalajara, la comisaría de seguridad ciudadana guadalajara","['gracias', 'a', 'la', 'estrategia', 'operativa', 'y', 'la', 'tecnología', 'del', 'c5', 'guadalajara', 'la', 'comisaría', 'de', 'seguridad', 'ciudadana', 'guadalajara']",52,18,83,2.79
7,en guadalajara laboramos para brindar a las niñas y los niños los mejores cuidados.,"['en', 'guadalajara', 'laboramos', 'para', 'brindar', 'a', 'las', 'niñas', 'y', 'los', 'niños', 'los', 'mejores', 'cuidados']",,3,7,2.001
8,"más de dos mil tapatíos y tapatías disfrutaron de una ruta trail por la barranca de oblatos, como parte del segundo serial de carreras organizado por","['más', 'de', 'dos', 'mil', 'tapatíos', 'y', 'tapatías', 'disfrutaron', 'de', 'una', 'ruta', 'trail', 'por', 'la', 'barranca', 'de', 'oblatos', 'como', 'parte', 'del', 'segundo', 'serial', 'de', 'carreras', 'organizado', 'por']",5,6,33,1.837
9,muchas felicidades a todas y todos los participantes,"['muchas', 'felicidades', 'a', 'todas', 'y', 'todos', 'los', 'participantes']",,3,11,596
10,fue un gusto celebrar el 65 aniversario,"['fue', 'un', 'gusto', 'celebrar', 'el', '65', 'aniversario']",12,7,31,2.354
11,muchas felicidades a las y los estudiantes,"['muchas', 'felicidades', 'a', 'las', 'y', 'los', 'estudiantes']",1,2,8,718
12,vamos a seguir haciendo equipo,"['vamos', 'a', 'seguir', 'haciendo', 'equipo']",,1,3,789
13,"la catedral metropolitana es uno de los principales símbolos arquitectónicos de guadalajara y de jalisco. y para sentirnos más orgullosos les tenemos buenas noticias.
escucha la siguiente información y conoce sobre el trabajo que hacemos para preservar el patrimonio cultural.","['la', 'catedral', 'metropolitana', 'es', 'uno', 'de', 'los', 'principales', 'símbolos', 'arquitectónicos', 'de', 'guadalajara', 'y', 'de', 'jalisco', 'y', 'para', 'sentirnos', 'más', 'orgullosos', 'les', 'tenemos', 'buenas', 'noticias', 'escucha', 'la', 'siguiente', 'información', 'y', 'conoce', 'sobre', 'el', 'trabajo', 'que', 'hacemos', 'para', 'preservar', 'el', 'patrimonio', 'cultural']",,29,29,"10,7 mil"
14,"sé parte del futuro con la nueva alternativa a los ""chips"". adquiere tu esim gratis con una recarga de 10gb por $50pesos, cobertura nacional, ee.uu y canadá.","['sé', 'parte', 'del', 'futuro', 'con', 'la', 'nueva', 'alternativa', 'a', 'los', 'chips', 'adquiere', 'tu', 'esim', 'gratis', 'con', 'una', 'recarga', 'de', '10gb', 'por', '50pesos', 'cobertura', 'nacional', 'ee', 'uu', 'y', 'canadá']",,,1,7
15,"sabemos que para tener una sociedad igualitaria y respetuosa debemos fomentar la inclusión y la empatía, por eso, en este “día mundial del turismo” inauguramos los recorridos turísticos “guadalajara bien incluyente”","['sabemos', 'que', 'para', 'tener', 'una', 'sociedad', 'igualitaria', 'y', 'respetuosa', 'debemos', 'fomentar', 'la', 'inclusión', 'y', 'la', 'empatía', 'por', 'eso', 'en', 'este', 'día', 'mundial', 'del', 'turismo', 'inauguramos', 'los', 'recorridos', 'turísticos', 'guadalajara', 'bien', 'incluyente']",18,9,56,2.891
16,"a través de la dirección de turismo, en coordinación con la dirección de capacitación e inclusión, se llevarán a cabo la primera semana de cada mes, para personas con discapacidad recorriendo los edificios ubicados en la ""cruz de plazas"" del","['a', 'través', 'de', 'la', 'dirección', 'de', 'turismo', 'en', 'coordinación', 'con', 'la', 'dirección', 'de', 'capacitación', 'e', 'inclusión', 'se', 'llevarán', 'a', 'cabo', 'la', 'primera', 'semana', 'de', 'cada', 'mes', 'para', 'personas', 'con', 'discapacidad', 'recorriendo', 'los', 'edificios', 'ubicados', 'en', 'la', 'cruz', 'de', 'plazas', 'del']",1,4,23,781
17,"queremos garantizar que las personas con discapacidad puedan disfrutar de la ciudad y sus atractivos de manera segura, digna y con servicios de calidad, aquella que todas y todos podamos disfrutar, caminar, divertirnos y vivir plenamente. ¡ánimo,","['queremos', 'garantizar', 'que', 'las', 'personas', 'con', 'discapacidad', 'puedan', 'disfrutar', 'de', 'la', 'ciudad', 'y', 'sus', 'atractivos', 'de', 'manera', 'segura', 'digna', 'y', 'con', 'servicios', 'de', 'calidad', 'aquella', 'que', 'todas', 'y', 'todos', 'podamos', 'disfrutar', 'caminar', 'divertirnos', 'y', 'vivir', 'plenamente', 'ánimo']",,3,18,693
18,muchas felicidades,"['muchas', 'felicidades']",,4,6,1.711
19,"me dio mucho gusto saludar a iván chávez, un gran amigo y operador político.
hemos hecho equipo desde hace tiempo en zapopan y vamos a seguir trabajando juntos.
¡ánimo!","['me', 'dio', 'mucho', 'gusto', 'saludar', 'a', 'iván', 'chávez', 'un', 'gran', 'amigo', 'y', 'operador', 'político', 'hemos', 'hecho', 'equipo', 'desde', 'hace', 'tiempo', 'en', 'zapopan', 'y', 'vamos', 'a', 'seguir', 'trabajando', 'juntos', 'ánimo']",,42,9,"16,3 mil"
20,qué gusto,"['qué', 'gusto']",5,3,48,2.536
21,,[],,,,"94,7 mil"
22,"estamos cumpliendo la promesa que le hicimos a las y los locatarios, además, le estamos apostando a fortalecer la economía barrial y familiar, pero sobre todo, respetando la arquitectura emblemática del mercado de la copa.","['estamos', 'cumpliendo', 'la', 'promesa', 'que', 'le', 'hicimos', 'a', 'las', 'y', 'los', 'locatarios', 'además', 'le', 'estamos', 'apostando', 'a', 'fortalecer', 'la', 'economía', 'barrial', 'y', 'familiar', 'pero', 'sobre', 'todo', 'respetando', 'la', 'arquitectura', 'emblemática', 'del', 'mercado', 'de', 'la', 'copa']",1,3,22,878
23,mi agradecimiento,"['mi', 'agradecimiento']",,3,17,788
24,tres presuntos miembros de una banda dedicada a robar a comensales en providencia fueron detenidos tras una persecución,"['tres', 'presuntos', 'miembros', 'de', 'una', 'banda', 'dedicada', 'a', 'robar', 'a', 'comensales', 'en', 'providencia', 'fueron', 'detenidos', 'tras', 'una', 'persecución']",,1,4,1.796
25,hoy mi amiga y senadora de jalisco,"['hoy', 'mi', 'amiga', 'y', 'senadora', 'de', 'jalisco']",49,18,135,9.935
26,"muchas felicidades,","['muchas', 'felicidades']",,1,3,1.221
27,el desarrollo de inteligencia policial desde el c5 ha dado paso a grandes avances en la seguridad de guadalajara. en colaboración con la,"['el', 'desarrollo', 'de', 'inteligencia', 'policial', 'desde', 'el', 'c5', 'ha', 'dado', 'paso', 'a', 'grandes', 'avances', 'en', 'la', 'seguridad', 'de', 'guadalajara', 'en', 'colaboración', 'con', 'la']",10,8,55,2.455
28,"además aseguraron una bodega repleta de mercancía del ilícito. 

estamos comprometidos con la seguridad de las y los tapatíos y no descansaremos hasta recuperar la tranquilidad de nuestras familias.","['además', 'aseguraron', 'una', 'bodega', 'repleta', 'de', 'mercancía', 'del', 'ilícito', 'estamos', 'comprometidos', 'con', 'la', 'seguridad', 'de', 'las', 'y', 'los', 'tapatíos', 'y', 'no', 'descansaremos', 'hasta', 'recuperar', 'la', 'tranquilidad', 'de', 'nuestras', 'familias']",,2,2,695
29,,[],,,2,18
30,"iniciamos la semana con una entrega de kits escolares en la escuela primaria manuel crespo monarrez, en la colonia echeverría, como parte del programa ""de buenas a la escuela"". nuestro compromiso es que ninguna niña, niño o adolescente abandone la escuela por motivos económicos.","['iniciamos', 'la', 'semana', 'con', 'una', 'entrega', 'de', 'kits', 'escolares', 'en', 'la', 'escuela', 'primaria', 'manuel', 'crespo', 'monarrez', 'en', 'la', 'colonia', 'echeverría', 'como', 'parte', 'del', 'programa', 'de', 'buenas', 'a', 'la', 'escuela', 'nuestro', 'compromiso', 'es', 'que', 'ninguna', 'niña', 'niño', 'o', 'adolescente', 'abandone', 'la', 'escuela', 'por', 'motivos', 'económicos']",9,5,55,1.755
31,las y los estudiantes recibieron útiles escolares,"['las', 'y', 'los', 'estudiantes', 'recibieron', 'útiles', 'escolares']",3,2,21,697
32,"continuamos haciendo equipo con las autoridades escolares y los padres de familia para brindar un futuro mejor y lleno de oportunidades a las nuevas generaciones. ¡ánimo,","['continuamos', 'haciendo', 'equipo', 'con', 'las', 'autoridades', 'escolares', 'y', 'los', 'padres', 'de', 'familia', 'para', 'brindar', 'un', 'futuro', 'mejor', 'y', 'lleno', 'de', 'oportunidades', 'a', 'las', 'nuevas', 'generaciones', 'ánimo']",,1,2,566
33,gracias a la colaboración entre la,"['gracias', 'a', 'la', 'colaboración', 'entre', 'la']",15,7,60,5.556
34,,[],,,,
35,"esta exitosa operación es el resultado de la coordinación interinstitucional entre autoridades municipales, estatales y federales, junto con un sólido desarrollo de inteligencia policial a través del c5.","['esta', 'exitosa', 'operación', 'es', 'el', 'resultado', 'de', 'la', 'coordinación', 'interinstitucional', 'entre', 'autoridades', 'municipales', 'estatales', 'y', 'federales', 'junto', 'con', 'un', 'sólido', 'desarrollo', 'de', 'inteligencia', 'policial', 'a', 'través', 'del', 'c5']",1,2,15,754
36,mi reconocimiento y felicitación,"['mi', 'reconocimiento', 'y', 'felicitación']",1,1,17,1.007
37,"la segunda edición fue todo un éxito y un espectáculo deportivo con emocionantes encuentros de las mejores tenistas del mundo. 
¡ánimo! el","['la', 'segunda', 'edición', 'fue', 'todo', 'un', 'éxito', 'y', 'un', 'espectáculo', 'deportivo', 'con', 'emocionantes', 'encuentros', 'de', 'las', 'mejores', 'tenistas', 'del', 'mundo', 'ánimo', 'el']",,1,15,894
38,hoy acompañamos al gobernador,"['hoy', 'acompañamos', 'al', 'gobernador']",1,4,43,2.014
39,,[],,,,"1,7 M"
40,"pero muy en especial al dr. fernando sánchez zubieta,  así como a todas y todos los médicos que trabajan día a día en beneficio de la salud de la niñez.

este es el principal legado alcaldiano que podemos tener, el poder ayudar a los demás.","['pero', 'muy', 'en', 'especial', 'al', 'dr', 'fernando', 'sánchez', 'zubieta', 'así', 'como', 'a', 'todas', 'y', 'todos', 'los', 'médicos', 'que', 'trabajan', 'día', 'a', 'día', 'en', 'beneficio', 'de', 'la', 'salud', 'de', 'la', 'niñez', 'este', 'es', 'el', 'principal', 'legado', 'alcaldiano', 'que', 'podemos', 'tener', 'el', 'poder', 'ayudar', 'a', 'los', 'demás']",1,2,18,650
41,con nuestra unidad y compromiso,"['con', 'nuestra', 'unidad', 'y', 'compromiso']",,2,19,592
42,"amigo y presidente municipal de monterrey,","['amigo', 'y', 'presidente', 'municipal', 'de', 'monterrey']",4,3,36,1.816
43,me hubiera gustado estar contigo personalmente pero hoy acompañamos al gobernador,"['me', 'hubiera', 'gustado', 'estar', 'contigo', 'personalmente', 'pero', 'hoy', 'acompañamos', 'al', 'gobernador']",,2,14,574
44,miren que bonito quedó el mercado reforma con la rehabilitación que le hicimos con el programa “mi mercado”.,"['miren', 'que', 'bonito', 'quedó', 'el', 'mercado', 'reforma', 'con', 'la', 'rehabilitación', 'que', 'le', 'hicimos', 'con', 'el', 'programa', 'mi', 'mercado']",109,16,166,"39,8 mil"
45,las obras realizadas fueron:,"['las', 'obras', 'realizadas', 'fueron']",2,1,20,2.637
46,alumbrado interior.,"['alumbrado', 'interior']",,1,1,2.45
47,fue un honor recibir en la capital de,"['fue', 'un', 'honor', 'recibir', 'en', 'la', 'capital', 'de']",8,7,49,2.528
48,"con este programa estatal se beneficia a 122 escuelas de 66 municipios de jalisco, entre ellos guadalajara, con equipo de cocina completo para acondicionar un espacio de “cocina menutre” y puedan preparar desayunos escolares para las niñas","['con', 'este', 'programa', 'estatal', 'se', 'beneficia', 'a', '122', 'escuelas', 'de', '66', 'municipios', 'de', 'jalisco', 'entre', 'ellos', 'guadalajara', 'con', 'equipo', 'de', 'cocina', 'completo', 'para', 'acondicionar', 'un', 'espacio', 'de', 'cocina', 'menutre', 'y', 'puedan', 'preparar', 'desayunos', 'escolares', 'para', 'las', 'niñas']",2,3,20,607
49,mi reconocimiento,"['mi', 'reconocimiento']",,1,3,605
50,fue un honor estar junto al maestro,"['fue', 'un', 'honor', 'estar', 'junto', 'al', 'maestro']",16,10,89,5.157
51,"agradezco la confianza y paciencia de cada comerciante y habitante del barrio de la perla, sigamos trabajando unidos","['agradezco', 'la', 'confianza', 'y', 'paciencia', 'de', 'cada', 'comerciante', 'y', 'habitante', 'del', 'barrio', 'de', 'la', 'perla', 'sigamos', 'trabajando', 'unidos']",,3,16,574
52,"este reconocimiento es muestra de nuestro compromiso por construir buenos gobiernos que dan resultados a las y los ciudadanos.

la transparencia es un pilar importante en los gobiernos de","['este', 'reconocimiento', 'es', 'muestra', 'de', 'nuestro', 'compromiso', 'por', 'construir', 'buenos', 'gobiernos', 'que', 'dan', 'resultados', 'a', 'las', 'y', 'los', 'ciudadanos', 'la', 'transparencia', 'es', 'un', 'pilar', 'importante', 'en', 'los', 'gobiernos', 'de']",,25,18,6.392
53,"para erradicar la corrupción tenemos que trabajar en equipo los diferentes niveles de gobierno, por eso, esta mañana asistimos a la firma","['para', 'erradicar', 'la', 'corrupción', 'tenemos', 'que', 'trabajar', 'en', 'equipo', 'los', 'diferentes', 'niveles', 'de', 'gobierno', 'por', 'eso', 'esta', 'mañana', 'asistimos', 'a', 'la', 'firma']",23,11,34,2.202
54,todos los entes públicos debemos cerrar filas para avanzar en la lucha contra la corrupción en jalisco,"['todos', 'los', 'entes', 'públicos', 'debemos', 'cerrar', 'filas', 'para', 'avanzar', 'en', 'la', 'lucha', 'contra', 'la', 'corrupción', 'en', 'jalisco']",,4,18,608
55,ahora dar el siguiente paso es más fácil,"['ahora', 'dar', 'el', 'siguiente', 'paso', 'es', 'más', 'fácil']",,5,5,2.066
56,hoy también es cumpleaños de mi amigo,"['hoy', 'también', 'es', 'cumpleaños', 'de', 'mi', 'amigo']",,19,3,4.24
57,trabajamos para que,"['trabajamos', 'para', 'que']",42,22,103,9.285
58,con el trabajo que hemos realizado ahora las vialidades cuentan con buena iluminación,"['con', 'el', 'trabajo', 'que', 'hemos', 'realizado', 'ahora', 'las', 'vialidades', 'cuentan', 'con', 'buena', 'iluminación']",1,2,18,755
59,continuaremos haciendo equipo,"['continuaremos', 'haciendo', 'equipo']",,2,2,697
60,"¡feliz cumpleaños,","['feliz', 'cumpleaños']",,7,2,2.361
61,"miren que chula quedó la avenida chapalita desde avenida las rosas hasta calzada lázaro cárdenas.
la renovamos con:","['miren', 'que', 'chula', 'quedó', 'la', 'avenida', 'chapalita', 'desde', 'avenida', 'las', 'rosas', 'hasta', 'calzada', 'lázaro', 'cárdenas', 'la', 'renovamos', 'con']",32,12,113,"10,1 mil"
62,adoquín podotáctil.,"['adoquín', 'podotáctil']",3,2,18,916
63,"trabajamos para que nuestras calles luzcan bonitas, y como muestra, hoy entregamos la renovación de la avenida chapalita, entre avenida las rosas hasta calzada lázaro cárdenas.","['trabajamos', 'para', 'que', 'nuestras', 'calles', 'luzcan', 'bonitas', 'y', 'como', 'muestra', 'hoy', 'entregamos', 'la', 'renovación', 'de', 'la', 'avenida', 'chapalita', 'entre', 'avenida', 'las', 'rosas', 'hasta', 'calzada', 'lázaro', 'cárdenas']",92,23,139,"11,1 mil"
64,"ya son ocho años trabajando en conjunto con las y los vecinos de chapalita, primero en zapopan y ahora en guadalajara. ahora esta arteria cuenta con una mejor iluminación, banquetas con accesibilidad universal, balizamiento y una carpeta asfáltica de calidad","['ya', 'son', 'ocho', 'años', 'trabajando', 'en', 'conjunto', 'con', 'las', 'y', 'los', 'vecinos', 'de', 'chapalita', 'primero', 'en', 'zapopan', 'y', 'ahora', 'en', 'guadalajara', 'ahora', 'esta', 'arteria', 'cuenta', 'con', 'una', 'mejor', 'iluminación', 'banquetas', 'con', 'accesibilidad', 'universal', 'balizamiento', 'y', 'una', 'carpeta', 'asfáltica', 'de', 'calidad']",,3,4,3.404
65,las,['las'],10,8,55,3.039
66,"serán 38 días llenos de música con artistas como el tri, sonora santanera, black eyed peas y más. además, el ""fanzone” de la fórmula 1 llega, por primera vez a nuestra ciudad los días 27, 28 y 29 en plaza liberación, un evento gratuito para los amantes de las carreras.","['serán', '38', 'días', 'llenos', 'de', 'música', 'con', 'artistas', 'como', 'el', 'tri', 'sonora', 'santanera', 'black', 'eyed', 'peas', 'y', 'más', 'además', 'el', 'fanzone', 'de', 'la', 'fórmula', '1', 'llega', 'por', 'primera', 'vez', 'a', 'nuestra', 'ciudad', 'los', 'días', '27', '28', 'y', '29', 'en', 'plaza', 'liberación', 'un', 'evento', 'gratuito', 'para', 'los', 'amantes', 'de', 'las', 'carreras']",1,2,18,798
67,mi reconocimiento al gobernador,"['mi', 'reconocimiento', 'al', 'gobernador']",,3,18,699
68,"¡increíble trabajo,","['increíble', 'trabajo']",4,21,91,6.77
69,mi reconocimiento y mi felicitación por esta gran labor. muchas gracias por siempre estar dispuestos a arriesgarlo todo para proteger a las y los ciudadanos.,"['mi', 'reconocimiento', 'y', 'mi', 'felicitación', 'por', 'esta', 'gran', 'labor', 'muchas', 'gracias', 'por', 'siempre', 'estar', 'dispuestos', 'a', 'arriesgarlo', 'todo', 'para', 'proteger', 'a', 'las', 'y', 'los', 'ciudadanos']",,2,20,998
70,"a toda la comunidad israelita de guadalajara, les mando una felicitación por este nuevo año judío que inicia hoy por la noche. mis mejores deseos para esta llegada del año 5784 de su calendario.","['a', 'toda', 'la', 'comunidad', 'israelita', 'de', 'guadalajara', 'les', 'mando', 'una', 'felicitación', 'por', 'este', 'nuevo', 'año', 'judío', 'que', 'inicia', 'hoy', 'por', 'la', 'noche', 'mis', 'mejores', 'deseos', 'para', 'esta', 'llegada', 'del', 'año', '5784', 'de', 'su', 'calendario']",,18,10,5.412
71,"renovamos el mercado manuel m. diéguez, en el barrio de san antonio, a través del programa “mi mercado”.","['renovamos', 'el', 'mercado', 'manuel', 'm', 'diéguez', 'en', 'el', 'barrio', 'de', 'san', 'antonio', 'a', 'través', 'del', 'programa', 'mi', 'mercado']",3,5,53,2.744
72,,[],,,,
73,luminarias.,['luminarias'],1,3,22,842
74,"los mercados de guadalajara son pilares de nuestra cultura, lugares de encuentro y, sobre todo, son parte de nuestra historia y tradición. vamos a seguir chambeando para dejarlos al cien","['los', 'mercados', 'de', 'guadalajara', 'son', 'pilares', 'de', 'nuestra', 'cultura', 'lugares', 'de', 'encuentro', 'y', 'sobre', 'todo', 'son', 'parte', 'de', 'nuestra', 'historia', 'y', 'tradición', 'vamos', 'a', 'seguir', 'chambeando', 'para', 'dejarlos', 'al', 'cien']",!,2,23,803
75,"gracias por su apoyo. ¡ánimo,","['gracias', 'por', 'su', 'apoyo', 'ánimo']",,15,16,5.32
76,"estuvimos en el xxiv encuentro iberoamericano de autoridades locales, ""municipios e infancias: territorios confiables para niñas y niños"". un evento organizado por la unión iberoamericana de municipalistas  en colaboración con organismos nacionales e internacionales.","['estuvimos', 'en', 'el', 'xxiv', 'encuentro', 'iberoamericano', 'de', 'autoridades', 'locales', 'municipios', 'e', 'infancias', 'territorios', 'confiables', 'para', 'niñas', 'y', 'niños', 'un', 'evento', 'organizado', 'por', 'la', 'unión', 'iberoamericana', 'de', 'municipalistas', 'en', 'colaboración', 'con', 'organismos', 'nacionales', 'e', 'internacionales']",3,3,45,1.721
77,gobernador,['gobernador'],,15,12,5.708
78,estimado,['estimado'],,6,4,1.902
79,hoy acompañamos al gobernador,"['hoy', 'acompañamos', 'al', 'gobernador']",,9,17,8.146
80,hoy también acompañamos a,"['hoy', 'también', 'acompañamos', 'a']",,9,2,2.489
81,quiero felicitar a mi amigo,"['quiero', 'felicitar', 'a', 'mi', 'amigo']",,4,28,1.557
82,junto con la dirigencia nacional de,"['junto', 'con', 'la', 'dirigencia', 'nacional', 'de']",21,19,132,7.057
83,nuevamente agradezco la visita de mi hermanito,"['nuevamente', 'agradezco', 'la', 'visita', 'de', 'mi', 'hermanito']",,1,3,1.01
84,"“que nunca llegue el rumor de la discordia”, querido gobernador","['que', 'nunca', 'llegue', 'el', 'rumor', 'de', 'la', 'discordia', 'querido', 'gobernador']",,114,111,"21,4 mil"
85,"servir a guadalajara es un privilegio que valoro cada día al despertar. hoy, en mi segundo informe al frente del","['servir', 'a', 'guadalajara', 'es', 'un', 'privilegio', 'que', 'valoro', 'cada', 'día', 'al', 'despertar', 'hoy', 'en', 'mi', 'segundo', 'informe', 'al', 'frente', 'del']",41,26,179,"14,9 mil"
86,,[],,,,
87,"también quiero agradecer a mi familia, a mis padres, mi esposa","['también', 'quiero', 'agradecer', 'a', 'mi', 'familia', 'a', 'mis', 'padres', 'mi', 'esposa']",2,4,33,1.802
88,"mi compromiso es dedicar toda mi energía y experien
cia para que siga brillando en su máximo esplendor. les prometo que en jalisco continuaremos creciendo a pasos agigantados y seremos líderes en el país.   
¡ánimo,","['mi', 'compromiso', 'es', 'dedicar', 'toda', 'mi', 'energía', 'y', 'experien', 'cia', 'para', 'que', 'siga', 'brillando', 'en', 'su', 'máximo', 'esplendor', 'les', 'prometo', 'que', 'en', 'jalisco', 'continuaremos', 'creciendo', 'a', 'pasos', 'agigantados', 'y', 'seremos', 'líderes', 'en', 'el', 'país', 'ánimo']",,2,5,1.617
89,gracias por acompañarme amigo y gobernador,"['gracias', 'por', 'acompañarme', 'amigo', 'y', 'gobernador']",,8,10,4.694
90,muchas gracias,"['muchas', 'gracias']",,1,2,2.335
91,les convoco a un gran acuerdo social y colectivo para que me ayuden a ser el el próximo gobernador de,"['les', 'convoco', 'a', 'un', 'gran', 'acuerdo', 'social', 'y', 'colectivo', 'para', 'que', 'me', 'ayuden', 'a', 'ser', 'el', 'el', 'próximo', 'gobernador', 'de']",,135,91,"32,3 mil"
92,"muchas gracias por acompañarme,","['muchas', 'gracias', 'por', 'acompañarme']",,1,2,2.473
93,eje jalisco - nuevo león,"['eje', 'jalisco', 'nuevo', 'león']",,76,33,"11,9 mil"
94,gracias,['gracias'],,23,,2.099
95,"muchas gracias por acompañarme,","['muchas', 'gracias', 'por', 'acompañarme']",,2,24,1.905
96,gracias por acompañarme,"['gracias', 'por', 'acompañarme']",,1,15,1.166
97,muchas gracias,"['muchas', 'gracias']",,1,26,1.833
98,muchas gracias querida,"['muchas', 'gracias', 'querida']",,24,,1.561
99,muchas gracias compadre,"['muchas', 'gracias', 'compadre']",,29,8,5.045
100,muchas gracias amigo,"['muchas', 'gracias', 'amigo']",,5,4,2.649
101,"gracias por el apoyo y asistir,","['gracias', 'por', 'el', 'apoyo', 'y', 'asistir']",,4,1,2.065
102,"¡gracias mi estimado gobernador por tu mensaje, te lo aprecio mucho. un abrazo hasta yucatán y espero recibirte pronto en","['gracias', 'mi', 'estimado', 'gobernador', 'por', 'tu', 'mensaje', 'te', 'lo', 'aprecio', 'mucho', 'un', 'abrazo', 'hasta', 'yucatán', 'y', 'espero', 'recibirte', 'pronto', 'en']",,2,33,2.036
103,"muchas gracias,","['muchas', 'gracias']",,18,,1.268
104,desde,['desde'],,6,8,6.953
105,"¡ánimo,",['ánimo'],16,18,155,4.81
106,puedes checar los resultados de mi informe aquí:,"['puedes', 'checar', 'los', 'resultados', 'de', 'mi', 'informe', 'aquí']",,2,3,901
107,"cambió 6 carriles de contaminación por un paseo arbolado y una línea de tren ligero subterránea, todo gracias al trabajo de miles de tapatíos que promovieron y defendieron el espacio público.","['cambió', '6', 'carriles', 'de', 'contaminación', 'por', 'un', 'paseo', 'arbolado', 'y', 'una', 'línea', 'de', 'tren', 'ligero', 'subterránea', 'todo', 'gracias', 'al', 'trabajo', 'de', 'miles', 'de', 'tapatíos', 'que', 'promovieron', 'y', 'defendieron', 'el', 'espacio', 'público']",,42,19,"13,5 mil"
108,gracias estimado,"['gracias', 'estimado']",,19,,1.507
109,gracias por asistir,"['gracias', 'por', 'asistir']",,1,1,1.733
110,muchas gracias estimada,"['muchas', 'gracias', 'estimada']",,2,2,2.11
111,un honor tenerte de nuevo en guadalajara,"['un', 'honor', 'tenerte', 'de', 'nuevo', 'en', 'guadalajara']",.,1,1,1.321
112,muchas gracias amigo y gobernador de yucatán,"['muchas', 'gracias', 'amigo', 'y', 'gobernador', 'de', 'yucatán']",,1,18,1.398
